Date,Away Team,Home Team,Player,Player Team,Extra Points Made,Extra Points Missed,Field Goals Made,Field Goals Missed
2024-11-03,Detroit Lions,Green Bay Packers,Jack Fox,Detroit Lions,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Daniel Whelan,Green Bay Packers,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Brandon McManus,Green Bay Packers,0,0,2,1
2024-11-03,Indianapolis Colts,Minnesota Vikings,Matt Gay,Indianapolis Colts,1,0,2,1
2024-11-03,Indianapolis Colts,Minnesota Vikings,Rigoberto Sanchez,Indianapolis Colts,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Will Reichard,Minnesota Vikings,3,0,0,2
2024-11-03,Indianapolis Colts,Minnesota Vikings,Ryan Wright,Minnesota Vikings,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Cam Little,Jacksonville Jaguars,1,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Logan Cooke,Jacksonville Jaguars,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Jake Elliott,Philadelphia Eagles,1,0,1,1
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Braden Mann,Philadelphia Eagles,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Daniel Carlson,Las Vegas Raiders,3,0,1,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,AJ Cole III,Las Vegas Raiders,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Evan McPherson,Cincinnati Bengals,5,0,2,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Ryan Rehkow,Cincinnati Bengals,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Cameron Dicker,Los Angeles Chargers,3,1,0,1
2024-11-03,Los Angeles Chargers,Cleveland Browns,JK Scott,Los Angeles Chargers,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Dustin Hopkins,Cleveland Browns,1,0,1,1
2024-11-03,Los Angeles Chargers,Cleveland Browns,Corey Bojorquez,Cleveland Browns,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Joshua Karty,Los Angeles Rams,2,0,2,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Ty Zentner,Los Angeles Rams,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Jason Myers,Seattle Seahawks,2,1,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Michael Dickson,Seattle Seahawks,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Jason Sanders,Miami Dolphins,3,0,2,0
2024-11-03,Miami Dolphins,Buffalo Bills,Jake Bailey,Miami Dolphins,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Tyler Bass,Buffalo Bills,1,1,3,0
2024-11-03,Miami Dolphins,Buffalo Bills,Sam Martin,Buffalo Bills,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Joey Slye,New England Patriots,2,0,1,1
2024-11-03,New England Patriots,Tennessee Titans,Bryce Baringer,New England Patriots,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Nick Folk,Tennessee Titans,2,0,2,0
2024-11-03,New England Patriots,Tennessee Titans,Ryan Stonehouse,Tennessee Titans,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Blake Grupe,New Orleans Saints,1,0,3,0
2024-11-03,New Orleans Saints,Carolina Panthers,Matthew Hayball,New Orleans Saints,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Eddy Piñeiro,Carolina Panthers,2,0,1,0
2024-11-03,New Orleans Saints,Carolina Panthers,Johnny Hekker,Carolina Panthers,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Austin Seibert,Washington Commanders,3,0,2,0
2024-11-03,Washington Commanders,New York Giants,Tress Way,Washington Commanders,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Jude McAtamney,New York Giants,1,0,1,0
2024-11-03,Washington Commanders,New York Giants,Matt Haack,New York Giants,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Chase McLaughlin,Tampa Bay Buccaneers,3,0,1,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Trenton Gill,Tampa Bay Buccaneers,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Harrison Butker,Kansas City Chiefs,3,0,1,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Matt Araiza,Kansas City Chiefs,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Evan McPherson,Cincinnati Bengals,4,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Ryan Rehkow,Cincinnati Bengals,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Justin Tucker,Baltimore Ravens,3,1,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Jordan Stout,Baltimore Ravens,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Younghoe Koo,Atlanta Falcons,2,0,1,3
2024-11-10,Atlanta Falcons,New Orleans Saints,Bradley Pinion,Atlanta Falcons,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Blake Grupe,New Orleans Saints,2,0,2,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Matthew Hayball,New Orleans Saints,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Tyler Bass,Buffalo Bills,3,0,3,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Sam Martin,Buffalo Bills,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Matt Gay,Indianapolis Colts,2,0,2,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Rigoberto Sanchez,Indianapolis Colts,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Wil Lutz,Denver Broncos,2,0,0,2
2024-11-10,Denver Broncos,Kansas City Chiefs,Riley Dixon,Denver Broncos,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Harrison Butker,Kansas City Chiefs,1,0,3,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Matt Araiza,Kansas City Chiefs,0,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Jake Bates,Detroit Lions,2,0,2,0
2024-11-10,Detroit Lions,Houston Texans,Jack Fox,Detroit Lions,0,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Ka'imi Fairbairn,Houston Texans,2,0,3,1
2024-11-10,Detroit Lions,Houston Texans,Tommy Townsend,Houston Texans,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Ryan Wright,Minnesota Vikings,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,John Parker Romo,Minnesota Vikings,0,0,4,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Cam Little,Jacksonville Jaguars,1,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Logan Cooke,Jacksonville Jaguars,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Joey Slye,New England Patriots,1,0,4,0
2024-11-10,New England Patriots,Chicago Bears,Bryce Baringer,New England Patriots,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Tory Taylor,Chicago Bears,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Cairo Santos,Chicago Bears,0,0,1,0
2024-11-10,New York Giants,Carolina Panthers,Graham Gano,New York Giants,2,0,1,1
2024-11-10,New York Giants,Carolina Panthers,Jamie Gillan,New York Giants,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Eddy Piñeiro,Carolina Panthers,2,0,2,0
2024-11-10,New York Giants,Carolina Panthers,Johnny Hekker,Carolina Panthers,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Thomas Morstead,New York Jets,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Spencer Shrader,New York Jets,0,0,2,0
2024-11-10,New York Jets,Arizona Cardinals,Chad Ryland,Arizona Cardinals,4,0,1,0
2024-11-10,New York Jets,Arizona Cardinals,Blake Gillikin,Arizona Cardinals,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Jake Elliott,Philadelphia Eagles,4,0,2,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Braden Mann,Philadelphia Eagles,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Bryan Anger,Dallas Cowboys,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Brandon Aubrey,Dallas Cowboys,0,0,2,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Chris Boswell,Pittsburgh Steelers,4,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Corliss Waitman,Pittsburgh Steelers,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Zane Gonzalez,Washington Commanders,3,0,2,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Tress Way,Washington Commanders,0,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Jake Moody,San Francisco 49ers,2,0,3,3
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Mitch Wishnowsky,San Francisco 49ers,0,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Chase McLaughlin,Tampa Bay Buccaneers,2,0,2,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Trenton Gill,Tampa Bay Buccaneers,0,0,0,0
2024-11-10,Tennessee Titans,Los Angeles Chargers,Nick Folk,Tennessee Titans,2,0,1,1
2024-11-10,Tennessee Titans,Los Angeles Chargers,Ryan Stonehouse,Tennessee Titans,0,0,0,0
2024-11-10,Tennessee Titans,Los Angeles Chargers,Cameron Dicker,Los Angeles Chargers,3,0,2,0
2024-11-10,Tennessee Titans,Los Angeles Chargers,JK Scott,Los Angeles Chargers,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Jason Sanders,Miami Dolphins,2,0,3,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Jake Bailey,Miami Dolphins,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Ethan Evans,Los Angeles Rams,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Joshua Karty,Los Angeles Rams,0,0,5,1
2024-11-14,Washington Commanders,Philadelphia Eagles,Zane Gonzalez,Washington Commanders,1,0,1,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Tress Way,Washington Commanders,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Jake Elliott,Philadelphia Eagles,2,1,2,2
2024-11-14,Washington Commanders,Philadelphia Eagles,Braden Mann,Philadelphia Eagles,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Bradley Pinion,Atlanta Falcons,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Younghoe Koo,Atlanta Falcons,0,0,2,0
2024-11-17,Atlanta Falcons,Denver Broncos,Wil Lutz,Denver Broncos,5,0,1,0
2024-11-17,Atlanta Falcons,Denver Broncos,Riley Dixon,Denver Broncos,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Justin Tucker,Baltimore Ravens,1,0,1,2
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Jordan Stout,Baltimore Ravens,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Corliss Waitman,Pittsburgh Steelers,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Chris Boswell,Pittsburgh Steelers,0,0,6,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Evan McPherson,Cincinnati Bengals,3,0,2,2
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Ryan Rehkow,Cincinnati Bengals,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Cameron Dicker,Los Angeles Chargers,4,0,2,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,JK Scott,Los Angeles Chargers,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Corey Bojorquez,Cleveland Browns,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Dustin Hopkins,Cleveland Browns,0,0,0,2
2024-11-17,Cleveland Browns,New Orleans Saints,Blake Grupe,New Orleans Saints,5,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Matthew Hayball,New Orleans Saints,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Brandon McManus,Green Bay Packers,2,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Daniel Whelan,Green Bay Packers,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Cairo Santos,Chicago Bears,1,0,2,1
2024-11-17,Green Bay Packers,Chicago Bears,Tory Taylor,Chicago Bears,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Matt Gay,Indianapolis Colts,1,0,3,0
2024-11-17,Indianapolis Colts,New York Jets,Rigoberto Sanchez,Indianapolis Colts,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Anders Carlson,New York Jets,3,0,2,0
2024-11-17,Indianapolis Colts,New York Jets,Thomas Morstead,New York Jets,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Logan Cooke,Jacksonville Jaguars,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Cam Little,Jacksonville Jaguars,0,0,2,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Jake Bates,Detroit Lions,7,0,1,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Spencer Shrader,Kansas City Chiefs,3,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Matt Araiza,Kansas City Chiefs,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Tyler Bass,Buffalo Bills,3,1,1,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Sam Martin,Buffalo Bills,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Daniel Carlson,Las Vegas Raiders,1,0,2,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,AJ Cole III,Las Vegas Raiders,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Jason Sanders,Miami Dolphins,4,0,2,0
2024-11-17,Los Angeles Rams,New England Patriots,Joshua Karty,Los Angeles Rams,4,0,0,1
2024-11-17,Los Angeles Rams,New England Patriots,Ethan Evans,Los Angeles Rams,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Joey Slye,New England Patriots,1,1,3,0
2024-11-17,Los Angeles Rams,New England Patriots,Bryce Baringer,New England Patriots,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,John Parker Romo,Minnesota Vikings,2,1,1,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Ryan Wright,Minnesota Vikings,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Nick Folk,Tennessee Titans,1,0,2,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Ryan Stonehouse,Tennessee Titans,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Jason Myers,Seattle Seahawks,2,0,2,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Michael Dickson,Seattle Seahawks,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Jake Moody,San Francisco 49ers,2,0,1,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Pat O'Donnell,San Francisco 49ers,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Ka'imi Fairbairn,Houston Texans,4,0,2,0
2024-11-18,Houston Texans,Dallas Cowboys,Tommy Townsend,Houston Texans,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Brandon Aubrey,Dallas Cowboys,1,0,1,1
2024-11-18,Houston Texans,Dallas Cowboys,Bryan Anger,Dallas Cowboys,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Chris Boswell,Pittsburgh Steelers,1,0,2,1
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Corliss Waitman,Pittsburgh Steelers,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Dustin Hopkins,Cleveland Browns,1,0,1,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Corey Bojorquez,Cleveland Browns,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Blake Gillikin,Arizona Cardinals,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Chad Ryland,Arizona Cardinals,0,0,2,1
2024-11-24,Arizona Cardinals,Seattle Seahawks,Jason Myers,Seattle Seahawks,1,1,1,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Michael Dickson,Seattle Seahawks,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Brandon Aubrey,Dallas Cowboys,4,0,2,2
2024-11-24,Dallas Cowboys,Washington Commanders,Bryan Anger,Dallas Cowboys,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Austin Seibert,Washington Commanders,0,2,2,1
2024-11-24,Dallas Cowboys,Washington Commanders,Tress Way,Washington Commanders,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Wil Lutz,Denver Broncos,2,0,5,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Riley Dixon,Denver Broncos,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Daniel Carlson,Las Vegas Raiders,1,0,4,0
2024-11-24,Denver Broncos,Las Vegas Raiders,AJ Cole III,Las Vegas Raiders,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Jake Bates,Detroit Lions,3,0,1,0
2024-11-24,Detroit Lions,Indianapolis Colts,Jack Fox,Detroit Lions,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Rigoberto Sanchez,Indianapolis Colts,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Matt Gay,Indianapolis Colts,0,0,2,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Spencer Shrader,Kansas City Chiefs,3,0,3,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Matt Araiza,Kansas City Chiefs,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Eddy Piñeiro,Carolina Panthers,1,0,4,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Johnny Hekker,Carolina Panthers,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,John Parker Romo,Minnesota Vikings,3,0,3,0
2024-11-24,Minnesota Vikings,Chicago Bears,Ryan Wright,Minnesota Vikings,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Cairo Santos,Chicago Bears,1,0,2,1
2024-11-24,Minnesota Vikings,Chicago Bears,Tory Taylor,Chicago Bears,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Joey Slye,New England Patriots,1,0,0,1
2024-11-24,New England Patriots,Miami Dolphins,Bryce Baringer,New England Patriots,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Jason Sanders,Miami Dolphins,4,0,2,0
2024-11-24,New England Patriots,Miami Dolphins,Jake Bailey,Miami Dolphins,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Jake Elliott,Philadelphia Eagles,4,0,3,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Braden Mann,Philadelphia Eagles,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Joshua Karty,Los Angeles Rams,2,0,0,1
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Ethan Evans,Los Angeles Rams,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Jake Moody,San Francisco 49ers,1,0,1,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Pat O'Donnell,San Francisco 49ers,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Brandon McManus,Green Bay Packers,5,0,1,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Daniel Whelan,Green Bay Packers,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Chase McLaughlin,Tampa Bay Buccaneers,3,1,1,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Trenton Gill,Tampa Bay Buccaneers,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Graham Gano,New York Giants,1,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Jamie Gillan,New York Giants,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Nick Folk,Tennessee Titans,3,0,3,0
2024-11-24,Tennessee Titans,Houston Texans,Ryan Stonehouse,Tennessee Titans,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Ka'imi Fairbairn,Houston Texans,3,0,2,1
2024-11-24,Tennessee Titans,Houston Texans,Tommy Townsend,Houston Texans,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Nick Folk,Tennessee Titans,3,0,3,0
2024-11-24,Tennessee Titans,Houston Texans,Ryan Stonehouse,Tennessee Titans,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Ka'imi Fairbairn,Houston Texans,3,0,2,1
2024-11-24,Tennessee Titans,Houston Texans,Tommy Townsend,Houston Texans,0,0,0,0
